People's Republic of China (CN),0,,buyer country,,,"Hong Kong, Macao and Taiwan investment enterprises",0,,Sino-foreign joint venture,0,,Seller Category C,,,,,Foreign-owned,Domestic-funded enterprises,Joint venture,Hong Kong and Taiwan investment companies,,,,,Seller ownership,,,,,,Intellectual Property A,,,,,Domestic patent,technical secrets,No intellectual property rights,,Technical Services,0,Contract type A,,,,,technology development,Consulting and services,technology transfer,intellectual property transactions,,Installment payment,1,,payment method,,,Seller name,,,Seller name,,,Buyer name,,,Buyer name,,,"Hong Kong, Macao and Taiwan investment enterprises",1,,Buyer Category B,,,buyer country,,,buyer country,,,Seller Category C,,,Seller Category C,,,Seller ownership,,,Seller ownership,,,Intellectual Property A,,,Intellectual Property A,,,Contract type A,,,Contract type A,,,payment method,,,payment method,
,,,People's Republic of China (CN),0,,,,,,,,sole proprietorship,1,,,,0,0,0,1,,,,,"Health, social security and social welfare industries",0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Maijin Pharmaceutical Technology Co., Ltd.",67,,,,,"Hubei Myerya (Group) Meisheng Pharmaceutical Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,sole proprietorship,2,,,,,"Health, social security and social welfare industries",8,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Health, social security and social welfare industries",0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Zhengda Oasis Pharmaceutical Technology Co., Ltd.",79,,,,,"Beijing Kexin Bicheng Pharmaceutical Technology Development Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Health, social security and social welfare industries",8,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,,,,"Hua Xia Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,,,,"Beijing Telit Technology Development Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Health, social security and social welfare industries",0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Zhengda Oasis Pharmaceutical Technology Co., Ltd.",79,,,,,Beijing Baozhiyuan Medical Technology Consulting Center,2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Health, social security and social welfare industries",8,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Health, social security and social welfare industries",0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Zhengda Oasis Pharmaceutical Technology Co., Ltd.",79,,,,,Beijing Okay Medical Research Institute,2,,,,,Research institutions,2,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Health, social security and social welfare industries",8,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Health, social security and social welfare industries",0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Zhengda Oasis Pharmaceutical Technology Co., Ltd.",79,,,,,Beijing Okay Medical Research Institute,2,,,,,Research institutions,2,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Health, social security and social welfare industries",8,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Health, social security and social welfare industries",0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Zhengda Oasis Pharmaceutical Technology Co., Ltd.",79,,,,,Beijing Okay Medical Research Institute,2,,,,,Research institutions,2,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Health, social security and social welfare industries",8,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Health, social security and social welfare industries",0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Zhengda Oasis Pharmaceutical Technology Co., Ltd.",79,,,,,Beijing Okay Medical Research Institute,2,,,,,Research institutions,2,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Health, social security and social welfare industries",8,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Health, social security and social welfare industries",0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Zhengda Oasis Pharmaceutical Technology Co., Ltd.",79,,,,,Beijing Okay Medical Research Institute,2,,,,,Research institutions,2,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Health, social security and social welfare industries",8,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Health, social security and social welfare industries",0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Zhengda Oasis Pharmaceutical Technology Co., Ltd.",79,,,,,Beijing Okay Medical Research Institute,2,,,,,Research institutions,2,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Health, social security and social welfare industries",8,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Health, social security and social welfare industries",0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Zhengda Oasis Pharmaceutical Technology Co., Ltd.",79,,,,,Beijing Okay Medical Research Institute,2,,,,,Research institutions,2,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Health, social security and social welfare industries",8,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,sole proprietorship,1,,,,0,0,0,1,,,,,"Health, social security and social welfare industries",0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Maijin Pharmaceutical Technology Co., Ltd.",67,,,,,"Junhe Health Medical Technology (Beijing) Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,sole proprietorship,2,,,,,"Health, social security and social welfare industries",8,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,sole proprietorship,1,,,,0,0,0,1,,,,,"Health, social security and social welfare industries",0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Maijin Pharmaceutical Technology Co., Ltd.",67,,,,,"Zhejiang Wanma Pharmaceutical Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,sole proprietorship,2,,,,,"Health, social security and social welfare industries",8,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,,,,Bank of China Liaoning Branch,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,limited liability company,0,,,,0,1,0,0,,,,,"Scientific research, technical services and geological exploration industry",0,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Daoda Technology Co., Ltd.",81,,,,,"Beijing Xinwangjie Communication Technology Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,limited liability company,5,,,,,"Scientific research, technical services and geological exploration industry",5,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Shanghai Lingtong Software Technology Co., Ltd. Beijing Branch",84,,,,,"Beijing Hongle Enterprise Planning Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,3,,,,,technology development,2,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,One time payment,0,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,,,,Shenzhen State Taxation Bureau,3,,,,,,,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Health, social security and social welfare industries",0,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Zhengda Oasis Pharmaceutical Technology Co., Ltd.",79,,,,,"Beijing Kexin Bicheng Pharmaceutical Technology Development Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Health, social security and social welfare industries",8,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Health, social security and social welfare industries",0,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Zhengda Oasis Pharmaceutical Technology Co., Ltd.",79,,,,,"Beijing Yili Hi-Tech Biotechnology Research Institute Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Health, social security and social welfare industries",8,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,,,,Agricultural Bank of China Shenzhen Branch,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,sole proprietorship,1,,,,0,0,0,1,,,,,"Health, social security and social welfare industries",0,,,,,technical secrets,0,,,,0,1,0,,,,technology transfer,1,,,,0,0,1,1,,,,,Installment payment,1,,,,,"Beijing Maijin Pharmaceutical Technology Co., Ltd.",67,,,,,"Beijing Tianwei Shenghe Pharmaceutical Technology Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,sole proprietorship,2,,,,,"Health, social security and social welfare industries",8,,,,,technical secrets,3,,,,,technology transfer,3,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Shanghai Lingtong Software Technology Co., Ltd. Beijing Branch",84,,,,,"Beijing Dazhong Electric Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,3,,,,,technology development,2,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Allion Information Technology (Beijing) Co., Ltd.",73,,,,,ALLION COMPUTER INC.,2,,,,,"Hong Kong, Macao and Taiwan investment enterprises",1,,,,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,One time payment,2
,,,United States(US),1,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Ericsson (China) Co., Ltd.",50,,,,,Ericsson AB,2,,,,,foreign-invested enterprises,5,,,,,United States(US),1,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,,,,Bank of China Guangdong Branch,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,3,,,,,technology development,2,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Beijing Kelan Software System Co., Ltd.",89,,,,,Bank of China Guangdong Branch,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,3,,,,,technology development,2,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Fujitsu Research and Development Center Co., Ltd.",88,,,,,"Beijing Fujitsu System Engineering Co., Ltd.",2,,,,,foreign-invested enterprises,5,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,3,,,,,technology development,2,,,,,One time payment,2
