name of the buyer,location of the buyer,if the buyer is a bank,the buyer's country,if the buyer is a chinese organization,Turnover,money,installment,paystyle,payment method
Ericsson AB,,,Sweden(SE),0,1037323,1037323,1,1,Installment payment
VETURE PHARM INC.,,,People's Republic of China (CN),0,1026400,1026400,1,1,Installment payment
"Guizhou Zhongsheng Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1000000,1000000,1,1,Installment payment
"Shaanxi Hanjiang Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1000000,1000000,1,1,Installment payment
"Jiangsu Snow Leopard Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1000000,1000000,1,1,Installment payment
"Japan Century Information Technology Co., Ltd.",,,Japan(JP),1,1000000,1000000,0,2,One time payment
"Baishan Guoxin Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,1000000,1000000,1,1,Installment payment
"Shanghai Xudong Haipu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,990000,990000,1,1,Installment payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,985712,985712,1,1,Installment payment
"Beijing Lenovo 365 Technology Co., Ltd.",,,People's Republic of China (CN),1,980000,980000,1,1,Installment payment
China Aviation Industry Corporation Shanghai Aircraft Design Institute,,,People's Republic of China (CN),1,980000,980000,1,1,Installment payment
"China Mobile Communications Group Shanghai Co., Ltd.",,,People's Republic of China (CN),0,980000,980000,1,1,Installment payment
"China Network Communications Co., Ltd.",,,People's Republic of China (CN),1,954800,954800,1,1,Installment payment
Zhejiang Yada Pharmaceutical Factory,,,People's Republic of China (CN),1,950000,950000,1,1,Installment payment
"Japan Century Information Technology Co., Ltd.",,,Japan(JP),1,950000,950000,0,2,One time payment
"Honeywell (USA) Co., Ltd.",,,United States(US),0,950000,950000,1,1,Installment payment
"Panasonic Electric Industrial Co., Ltd. Overseas R&D Promotion Center",,,Country/region unknown,0,939409,939409,1,1,Installment payment
"Guangdong Development Bank Co., Ltd.",,,People's Republic of China (CN),1,938500,938500,1,1,Installment payment
Bank of China Guangdong Branch,,,People's Republic of China (CN),1,929600,929600,1,1,Installment payment
Bank of China Shanghai Branch,,,People's Republic of China (CN),1,929500,929500,1,1,Installment payment
"Shaanxi Hanjiang Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,900000,900000,1,1,Installment payment
"Shaanxi Hanjiang Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,900000,900000,1,1,Installment payment
"Jilin Xidian Pharmaceutical Technology Development Co., Ltd.",,,People's Republic of China (CN),1,900000,900000,1,1,Installment payment
Changsha Commercial Bank,,,People's Republic of China (CN),1,900000,900000,1,1,Installment payment
"Bank of China Co., Ltd. Liaoning Provincial Branch",,,People's Republic of China (CN),1,891000,891000,1,1,Installment payment
Honeywell (Singapore) Ltd.,,,Singapore(SG),0,890000,890000,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,889793,889793,1,1,Installment payment
"Bank of Communications Co., Ltd.",,,People's Republic of China (CN),1,882000,882000,1,1,Installment payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,860487,860487,1,1,Installment payment
Hua Xia Bank Head Office,,,People's Republic of China (CN),1,850000,850000,1,1,Installment payment
Song Xinbo,,,People's Republic of China (CN),1,850000,850000,1,1,Installment payment
"Jiangsu Zhongbang Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,850000,850000,1,1,Installment payment
"Japan Century Information Technology Co., Ltd.",,,Japan(JP),1,840000,840000,0,2,One time payment
Honeywell Automation and Control Laboratory,,,United States(US),0,840000,840000,1,1,Installment payment
"Beijing Lianxin Electronic Technology Development Co., Ltd.",,,People's Republic of China (CN),1,838400,838400,1,1,Installment payment
China International Travel Service Head Office,,,People's Republic of China (CN),1,820000,820000,1,1,Installment payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),1,809100,809100,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),1,808000,808000,0,2,One time payment
"Hainan Tongzhou Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,800000,800000,1,1,Installment payment
"Heilongjiang Runtong Biopharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,800000,800000,1,1,Installment payment
"Jiangsu Yangzijiang Pharmaceutical Group Co., Ltd.",,,People's Republic of China (CN),1,800000,800000,1,1,Installment payment
Harbin Pharmaceutical Group Pharmaceutical Factory,,,People's Republic of China (CN),1,800000,800000,1,1,Installment payment
Honeywell (Prague) Technology R&D Laboratory,,,Czech Republic(CZ),0,800000,800000,1,1,Installment payment
Bank of China Hebei Branch,,,People's Republic of China (CN),1,797000,797000,1,1,Installment payment
"Bank of China Co., Ltd. Hebei Branch",,,People's Republic of China (CN),1,795000,795000,1,1,Installment payment
Bank of China Liaoning Branch,,,People's Republic of China (CN),1,775000,775000,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,772984,772984,1,1,Installment payment
China International Travel Service Head Office,,,People's Republic of China (CN),1,770000,770000,1,1,Installment payment
Xiamen International Bank,,,People's Republic of China (CN),1,760000,760000,1,1,Installment payment
"Hongbai Technology Co., Ltd.",,,Country/region unknown,1,756960,756960,0,2,One time payment
"Jiangsu Qingjiang Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,750000,750000,1,1,Installment payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,745199,745199,1,1,Installment payment
"China Netcom Group International Communications Co., Ltd.",,,People's Republic of China (CN),1,743400,743400,1,1,Installment payment
"BD&C Bit Lianchuang (Hong Kong) Co., Ltd.",,,People's Republic of China (CN),0,738118,738118,1,3,commission payment
Bank of China Shanghai Branch,,,People's Republic of China (CN),1,720000,720000,1,1,Installment payment
"Xi'an Zhengda Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,705000,705000,1,1,Installment payment
"Pioneer Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,700000,700000,1,1,Installment payment
"Kunming Bangyu Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,700000,700000,1,1,Installment payment
"Shaanxi Hanjiang Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,700000,700000,0,2,One time payment
"Hainan Kaijian Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,700000,700000,1,1,Installment payment
"Allion Computer Co., Ltd.",,,People's Republic of China (CN),1,697049,697049,0,2,One time payment
Agricultural Bank of China Shenzhen Branch,,,People's Republic of China (CN),1,696000,696000,1,1,Installment payment
Tianjin Commercial Bank,,,People's Republic of China (CN),0,680000,680000,1,1,Installment payment
Guiyang Commercial Bank,,,People's Republic of China (CN),1,680000,680000,1,1,Installment payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),0,664000,664000,0,2,One time payment
"Hongbai Technology Co., Ltd. (Taiwan)",,,People's Republic of China (CN),0,662176,662176,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),0,662168,662168,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),1,661600,661600,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),0,661600,661600,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),1,661600,661600,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),1,661600,661600,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),1,661600,661600,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),1,661600,661600,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),1,661600,661600,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),1,661600,661600,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),1,661600,661600,0,2,One time payment
Erisson AB,,,Sweden(SE),0,651802,651802,1,1,Installment payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),1,648800,648800,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),0,648000,648000,0,2,One time payment
Ericsson AB,,,United States(US),0,638869,638869,1,1,Installment payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),1,607500,607500,0,2,One time payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,605621,605621,1,1,Installment payment
Bank of Communications Shenzhen Branch,,,People's Republic of China (CN),0,600000,600000,0,2,One time payment
"Xi'an Zhengda Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,600000,600000,1,1,Installment payment
"Guangxi Guangming Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,600000,600000,1,1,Installment payment
"Guangxi Guangming Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,600000,600000,1,1,Installment payment
"Beijing Huanjing Logistics Co., Ltd.",,,People's Republic of China (CN),1,590000,590000,0,2,One time payment
"Bohai Bank Co., Ltd.",,,People's Republic of China (CN),1,584000,584000,1,1,Installment payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),0,581000,581000,0,2,One time payment
VENTVRPHARM INC (UK),,,People's Republic of China (CN),0,581000,581000,1,1,Installment payment
"China HP Co., Ltd.",,,People's Republic of China (CN),1,580300,580300,1,1,Installment payment
IBM China HongKong limited,,,People's Republic of China (CN),0,579600,579600,1,1,Installment payment
"Allion Computer Co., Ltd.",,,People's Republic of China (CN),1,578900,578900,0,2,One time payment
"Allion Computer Co., Ltd.",,,People's Republic of China (CN),0,578900,578900,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),1,578900,578900,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),0,578900,578900,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),1,565600,565600,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),0,563500,563500,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),0,560000,560000,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),0,560000,560000,0,2,One time payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),0,560000,560000,0,2,One time payment
"Changzhou Siyao Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,550000,550000,1,1,Installment payment
Shanghai Pudong Development Bank Shanghai Regional Headquarters,,,People's Republic of China (CN),1,550000,550000,1,1,Installment payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,537804,537804,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,536989,536989,1,1,Installment payment
"Japan Century Information Technology Co., Ltd.",,,Japan(JP),1,530000,530000,0,2,One time payment
Shandong Tai'an Pharmaceutical Factory,,,People's Republic of China (CN),1,530000,530000,1,1,Installment payment
"Beijing Peking University Weixin Biotechnology Co., Ltd.",,,People's Republic of China (CN),1,520000,520000,1,1,Installment payment
Tianjin Commercial Bank,,,People's Republic of China (CN),1,520000,520000,1,1,Installment payment
NCR（Hongkong）Limited,,,People's Republic of China (CN),0,518324,518324,1,1,Installment payment
Ericsson AB,,,Sweden(SE),0,509192,509192,1,1,Installment payment
"BD&C Bit Lianchuang (Hong Kong) Co., Ltd.",,,People's Republic of China (CN),0,505656,505656,1,3,commission payment
"Harbin Sanlian Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,500000,500000,1,1,Installment payment
"Beijing Lianxin Electronic Technology Development Co., Ltd.",,,People's Republic of China (CN),1,500000,500000,1,1,Installment payment
"Pioneer Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,500000,500000,1,1,Installment payment
"Xi'an Xindong Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,500000,500000,1,1,Installment payment
"China HP Co., Ltd.",,,People's Republic of China (CN),1,497400,497400,1,1,Installment payment
Ningbo Commercial Bank,,,People's Republic of China (CN),1,495000,495000,1,1,Installment payment
"Beijing Jinyuan Computer Technology Co., Ltd.",,,People's Republic of China (CN),0,483271,483271,1,3,commission payment
VENTORE PHARM INC.,,,People's Republic of China (CN),0,481000,481000,1,1,Installment payment
Guiyang Commercial Bank,,,People's Republic of China (CN),1,480000,480000,1,1,Installment payment
"Hua Xia Bank Co., Ltd.",,,People's Republic of China (CN),1,480000,480000,1,1,Installment payment
"Hongbai Technology Co., Ltd.",,,People's Republic of China (CN),0,480000,480000,0,2,One time payment
Guiyang,,,People's Republic of China (CN),1,470000,470000,1,1,Installment payment
Ministry of Railways Fund Clearing Center,,,People's Republic of China (CN),0,460000,460000,1,1,Installment payment
Bank of China Beijing Branch,,,People's Republic of China (CN),1,460000,460000,1,1,Installment payment
"Shanxi Angsheng Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,450000,450000,1,1,Installment payment
"Beijing Universal Star Software Co., Ltd.",,,People's Republic of China (CN),0,440755,440755,1,3,commission payment
"Xinjiang Tiandi Group Co., Ltd.",,,People's Republic of China (CN),1,440000,440000,1,1,Installment payment
"Shanghai Pudong Development Bank Co., Ltd.",,,People's Republic of China (CN),1,440000,440000,1,1,Installment payment
"BD&C Bit Lianchuang (Hong Kong) Co., Ltd.",,,People's Republic of China (CN),0,437965,437965,1,3,commission payment
Agricultural Bank of China Shenzhen Branch,,,People's Republic of China (CN),0,435178,435178,1,1,Installment payment
Shenzhen Development Bank,,,People's Republic of China (CN),1,420000,420000,1,1,Installment payment
Siemens (Switzerland) Ltd.,,,Country/region unknown,1,419371,419371,0,2,One time payment
"Allion Computer Co., Ltd.",,,People's Republic of China (CN),0,413500,413500,1,1,Installment payment
"Allion Computer Co., Ltd.",,,People's Republic of China (CN),0,413500,413500,0,2,One time payment
"Allion Computer Co., Ltd.",,,People's Republic of China (CN),0,410000,410000,1,1,Installment payment
"Allion Computer Co., Ltd.",,,People's Republic of China (CN),0,410000,410000,0,2,One time payment
"Shanghai Pudong Development Bank Co., Ltd.",,,People's Republic of China (CN),1,408000,408000,1,1,Installment payment
"Nokia (China) Investment Co., Ltd.",,,People's Republic of China (CN),0,403353,403353,1,1,Installment payment
"China Netcom Group International Communications Co., Ltd.",,,People's Republic of China (CN),1,401800,401800,1,1,Installment payment
"Beijing Lenovo FM Technology Co., Ltd.",,,People's Republic of China (CN),1,400000,400000,1,1,Installment payment
Northeast Pharmaceutical Group Shenyang First Pharmaceutical Factory,,,People's Republic of China (CN),1,400000,400000,1,1,Installment payment
Guangdong Development Bank,,,People's Republic of China (CN),1,388500,388500,1,1,Installment payment
"Beijing Huanjing Logistics Co., Ltd.",,,People's Republic of China (CN),1,386000,386000,1,1,Installment payment
"Henan Fusen Pharmaceutical Co., Ltd.",,,People's Republic of China (CN),1,380000,380000,1,1,Installment payment
