time,amount,internalization,outsourcing,if the sitting date time after 2006,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,Seller Category B,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,Technical field B,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,Intellectual property B,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Contract type B,socioeconomic goals,Turnover,money,installment,paystyle,payment method,Is the seller a central institution in Beijing?,Is it an intermediary service organization?,Transformed enterprise
747d,,1,0,1,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,,1,0,0,2,Commissioned development,,9037348,9037348,1,1,Installment payment,,,
3651d,,0,1,0,,0,0,0,5,Domestic-funded enterprises,0,1,0,5,1,computer software,0,1,0,3,,0,0,1,3,,,8730000,8730000,1,1,Installment payment,,,
575d,,1,0,1,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,,1,0,0,2,Commissioned development,,8499463,8499463,0,2,One time payment,,,
303d,,1,0,0,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,,,8199998,8199998,1,1,Installment payment,,,
1143d,,1,0,1,,1,0,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,,1,0,0,2,Commissioned development,,8168588,8168588,1,1,Installment payment,,,
1461d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,8000000,8000000,1,1,Installment payment,,,
364d,,1,0,1,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,Digital audio and video technology,0,1,0,3,,1,0,0,2,Commissioned development,,8000000,8000000,1,1,Installment payment,,,
303d,,1,0,0,,1,1,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,,,7947456,7947456,1,1,Installment payment,,,
699d,,1,0,0,,1,1,0,3,foreign-invested enterprises,1,0,0,2,0,computer software,1,0,0,2,,1,0,0,2,,,7154600,7154600,1,1,Installment payment,,,
364d,,1,0,0,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,Digital audio and video technology,0,1,0,3,,1,0,0,2,,,7055000,7055000,1,1,Installment payment,,,
542d,,0,1,1,,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,,1,0,0,2,Commissioned development,,6380000,6380000,1,1,Installment payment,,,
315d,,0,1,1,,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,,1,0,0,2,Commissioned development,,6380000,6380000,1,1,Installment payment,,,
3651d,,0,1,0,,0,0,0,5,Domestic-funded enterprises,0,1,0,5,1,,1,0,0,2,,0,0,1,3,,,6280500,6280500,1,1,Installment payment,,,
731d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,5800000,5800000,1,3,commission payment,,,
3287d,,1,0,0,,0,0,1,4,foreign-invested enterprises,0,0,1,3,0,,0,1,0,3,,0,0,1,3,,,5536383,5536383,1,3,commission payment,,,
365d,,1,0,0,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,Digital audio and video technology,0,1,0,3,,1,0,0,2,,,5533336,5533336,1,1,Installment payment,,,
729d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,5500000,5500000,1,3,commission payment,,,
364d,,1,0,0,,1,0,0,3,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,,,5417775,5417775,1,1,Installment payment,,,
587d,,1,0,1,,1,1,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,,1,0,0,2,Commissioned development,,5311959,5311959,1,1,Installment payment,,,
3651d,,0,1,0,,0,0,0,5,Domestic-funded enterprises,0,1,0,5,1,other,1,0,0,2,,0,0,1,3,,,4870000,4870000,1,1,Installment payment,,,
364d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,4750000,4750000,1,3,commission payment,,,
365d,,1,0,0,,1,0,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,,,4718517,4718517,1,1,Installment payment,,,
211d,,1,0,0,,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,Electronic special equipment and test instruments,0,1,0,3,,1,0,0,2,,,4700498,4700498,1,1,Installment payment,,,
730d,,1,0,1,,1,0,0,3,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,,1,0,0,2,Commissioned development,,4692771,4692771,1,1,Installment payment,,,
365d,,1,0,0,,0,0,0,1,foreign-invested enterprises,0,0,1,3,1,Computer hardware,0,1,0,3,,1,0,0,2,,,4552130,4552130,0,2,One time payment,,,
3653d,,0,1,0,,0,0,1,4,"Hong Kong, Macao and Taiwan investment enterprises",0,0,0,2,0,Medical technology,0,1,0,3,,0,0,1,3,,,4500000,4500000,1,1,Installment payment,,,
365d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,4500000,4500000,1,3,commission payment,,,
274d,,1,0,0,,1,0,0,3,foreign-invested enterprises,0,0,1,1,1,Electronic special equipment and test instruments,0,1,0,3,,1,0,0,2,,,4266016,4266016,1,1,Installment payment,,,
730d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,4200000,4200000,1,1,Installment payment,,,
1461d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,4000000,4000000,1,1,Installment payment,,,
1461d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,4000000,4000000,1,1,Installment payment,,,
1461d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,4000000,4000000,1,1,Installment payment,,,
730d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,4000000,4000000,1,3,commission payment,,,
1096d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,4000000,4000000,1,3,commission payment,,,
730d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,0,1,0,3,,1,0,0,2,,,3980000,3980000,1,1,Installment payment,,,
396d,,0,1,0,,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer network,0,1,0,3,,1,0,0,2,,,3900000,3900000,1,1,Installment payment,,,
418d,,0,1,0,,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,other,0,1,0,3,,1,0,0,2,,,3818881,3620881,0,2,One time payment,,,
365d,,1,0,0,,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer network,0,1,0,3,,0,0,1,3,,,3612708,3612708,1,3,commission payment,,,
148d,,1,0,0,,1,1,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,,1,0,0,2,,,3550000,3550000,0,2,One time payment,,,
2557d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,3500000,3500000,1,1,Installment payment,,,
2921d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,3500000,3500000,1,1,Installment payment,,,
549d,,1,0,1,,1,1,1,3,foreign-invested enterprises,1,0,0,2,1,Automation machinery and equipment technology,0,1,0,3,,1,0,0,2,Commissioned development,,3360000,3360000,1,1,Installment payment,,,
682d,,0,1,0,,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,0,1,0,3,,1,0,0,2,,,3311940,3311940,1,1,Installment payment,,,
730d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,0,0,1,3,,,3250000,3250000,1,3,commission payment,,,
172d,,1,0,0,,0,0,0,3,foreign-invested enterprises,0,0,1,3,0,Computer hardware,0,1,0,3,,1,0,0,2,,,3168320,3168320,1,1,Installment payment,,,
1096d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,0,0,1,3,,,3150000,3150000,1,3,commission payment,,,
365d,,1,0,0,,0,0,0,1,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,,1,0,0,2,,,3103725,3103725,0,2,One time payment,,,
732d,,0,1,1,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,,1,0,0,2,Commissioned development,,3072000,3072000,1,1,Installment payment,,,
365d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,3004000,3004000,1,1,Installment payment,,,
1096d,,0,1,0,,0,0,1,4,"Hong Kong, Macao and Taiwan investment enterprises",0,0,0,2,0,Medical technology,0,0,1,1,,0,0,1,3,,,3000000,3000000,1,1,Installment payment,,,
729d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,3000000,3000000,1,1,Installment payment,,,
730d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,3000000,3000000,1,3,commission payment,,,
91d,,0,1,1,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,0,1,0,1,General technical services,,2926699,2926699,1,1,Installment payment,,,
1825d,,0,1,1,,0,0,1,4,Domestic-funded enterprises,0,1,0,5,0,Medical technology,0,1,0,3,,1,0,0,2,Commissioned development,,2900000,2900000,1,1,Installment payment,,,
365d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2880000,2880000,1,1,Installment payment,,,
729d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,2880000,2880000,1,3,commission payment,,,
233d,,1,0,0,,1,1,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,,1,0,0,2,,,2840860,2840860,0,2,One time payment,,,
16070d,,0,1,1,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,,0,0,1,3,Computer software copyright transfer,,2835000,2835000,1,3,commission payment,,,
730d,,1,0,0,,0,0,0,1,Domestic-funded enterprises,0,1,0,5,1,Digital audio and video technology,0,1,0,3,,0,0,1,3,,,2802199,2802199,1,3,commission payment,,,
324d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2800000,2800000,1,1,Installment payment,,,
244d,,1,0,1,,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,Commissioned development,,2795586,2795586,1,1,Installment payment,,,
2556d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2780000,2780000,1,1,Installment payment,,,
91d,,0,1,1,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,0,1,0,1,General technical services,,2717649,2717649,1,1,Installment payment,,,
365d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2688000,2688000,1,1,Installment payment,,,
89d,,0,1,1,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,0,1,0,3,,0,1,0,1,General technical services,,2685554,2685554,1,1,Installment payment,,,
90d,,0,1,1,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,0,1,0,1,General technical services,,2659531,2659531,1,1,Installment payment,,,
91d,,0,1,0,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,0,1,0,3,,0,1,0,1,,,2602281,2602281,1,1,Installment payment,,,
365d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2600000,2600000,1,1,Installment payment,,,
324d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2600000,2600000,1,1,Installment payment,,,
730d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,2600000,2600000,1,3,commission payment,,,
779d,,0,1,1,,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,,1,0,0,2,Commissioned development,,2580000,2580000,1,1,Installment payment,,,
508d,,0,1,0,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,,,2567500,2567500,1,1,Installment payment,,,
91d,,0,1,0,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,0,1,0,3,,0,1,0,1,General technical services,,2515145,2515145,1,1,Installment payment,,,
324d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2500000,2500000,1,1,Installment payment,,,
2922d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2500000,2500000,1,1,Installment payment,,,
1826d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,2500000,2500000,1,3,commission payment,,,
908d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,2500000,2500000,1,3,commission payment,,,
2922d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2500000,2500000,1,1,Installment payment,,,
365d,,1,0,0,,0,0,0,1,foreign-invested enterprises,0,0,1,3,1,Electronic information and semiconductor materials,0,1,0,3,,1,0,0,2,,,2483160,2483160,0,2,One time payment,,,
304d,,1,0,0,,1,1,0,3,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,1,0,0,2,,,2430734,2430734,1,1,Installment payment,,,
196d,,1,0,0,,1,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,,1,0,0,2,,,2409696,2409696,0,2,One time payment,,,
90d,,0,1,0,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,0,1,0,1,,,2386607,2386607,1,1,Installment payment,,,
2921d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2380000,2380000,1,1,Installment payment,,,
2922d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2300000,2300000,1,1,Installment payment,,,
908d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,2300000,2300000,1,3,commission payment,,,
548d,,1,0,0,,1,1,0,3,foreign-invested enterprises,1,0,0,2,0,communication technology,1,0,0,2,,1,0,0,2,,,2257600,2257600,1,1,Installment payment,,,
1826d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,0,Medical technology,0,1,0,3,,0,0,1,3,,,2250000,2250000,1,1,Installment payment,,,
2191d,,0,1,0,,0,0,1,4,"Hong Kong, Macao and Taiwan investment enterprises",0,0,0,2,0,Medical technology,0,1,0,3,,0,0,1,3,,,2200000,2200000,1,1,Installment payment,,,
3653d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2200000,2200000,1,1,Installment payment,,,
654d,,0,1,1,,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,,1,0,0,2,Commissioned development,,2200000,2200000,1,1,Installment payment,,,
136d,,0,1,1,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,,1,0,0,2,Commissioned development,,2160000,2160000,1,1,Installment payment,,,
183d,,0,1,1,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,communication technology,0,1,0,3,,0,1,0,1,General technical services,,2148184,2148184,1,1,Installment payment,,,
248d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,,1,0,0,2,,,2118969,2118969,1,1,Installment payment,,,
2556d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2100000,2100000,1,1,Installment payment,,,
2556d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2100000,2100000,1,1,Installment payment,,,
366d,,0,1,0,,0,0,1,4,"Hong Kong, Macao and Taiwan investment enterprises",0,0,0,2,0,Medical technology,0,0,1,1,,0,0,1,3,,,2080000,2080000,1,1,Installment payment,,,
578d,,0,1,0,,0,0,0,1,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,,0,0,1,3,,,2069300,2069300,1,1,Installment payment,,,
136d,,0,1,1,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,,1,0,0,2,Commissioned development,,2060000,2060000,1,1,Installment payment,,,
365d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2000000,2000000,1,1,Installment payment,,,
402d,,0,1,0,,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer network,0,1,0,3,,1,0,0,2,,,2000000,2000000,1,1,Installment payment,,,
1757d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2000000,2000000,1,1,Installment payment,,,
1461d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2000000,2000000,1,1,Installment payment,,,
3653d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2000000,2000000,1,1,Installment payment,,,
2922d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2000000,2000000,1,1,Installment payment,,,
729d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,,1,0,0,2,,,2000000,2000000,1,3,commission payment,,,
2922d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,2000000,2000000,1,1,Installment payment,,,
2921d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,1,0,0,2,,,2000000,2000000,1,1,Installment payment,,,
1126d,,1,0,0,,0,0,0,3,Domestic-funded enterprises,0,1,0,5,1,Digital audio and video technology,1,0,0,2,,0,0,1,3,,,1974386,1974386,1,3,commission payment,,,
632d,,0,1,0,,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,0,1,0,3,,1,0,0,2,,,1971728,1971728,1,1,Installment payment,,,
359d,,0,1,0,,0,0,0,5,foreign-invested enterprises,0,0,1,1,1,computer network,0,1,0,3,,1,0,0,2,,,1968750,1968750,1,1,Installment payment,,,
136d,,0,1,1,,0,0,0,5,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,,1,0,0,2,Commissioned development,,1920000,1920000,1,1,Installment payment,,,
364d,,1,0,0,,0,0,0,3,Domestic-funded enterprises,0,1,0,5,1,Digital audio and video technology,0,1,0,3,,0,0,1,3,,,1904296,1904296,1,3,commission payment,,,
2556d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,1900000,1900000,1,1,Installment payment,,,
2922d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,1900000,1900000,1,1,Installment payment,,,
2922d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,1900000,1900000,1,1,Installment payment,,,
2922d,,0,1,0,,0,0,1,4,foreign-invested enterprises,0,0,1,4,1,Medical technology,0,1,0,3,,0,0,1,3,,,1900000,1900000,1,1,Installment payment,,,
